world_index,world_timestamp,img_to_surf_trans,surf_to_img_trans,num_detected_markers,dist_img_to_surf_trans,surf_to_dist_img_trans
10,6657.682472,"[[ 7.82107177e-03 -1.23266704e-03 -2.60360058e+00]
 [-4.84735070e-04 -4.22519292e-03  2.80430588e+00]
 [-7.31971622e-05 -3.60838450e-04  1.25315782e+00]]","[[ 1.27305094e+02 -7.38400723e+01  4.29731801e+02]
 [-1.19543936e+01 -2.85659591e+02  6.14409769e+02]
 [ 3.99372425e-03 -8.65667885e-02  1.00000000e+00]]",7,"[[ 9.00358149e-03 -1.67204175e-03 -3.01512975e+00]
 [-3.15180700e-04 -4.69213992e-03  2.94448549e+00]
 [ 2.49169570e-04 -5.59072857e-04  1.22300015e+00]]","[[ 9.56748468e+01 -8.72180894e+01  4.45858061e+02]
 [-2.61646523e+01 -2.75001608e+02  5.97586536e+02]
 [-3.14531502e-02 -1.07942620e-01  1.00000000e+00]]"
11,6657.78300299999,"[[ 7.80852656e-03 -1.22502508e-03 -2.57966943e+00]
 [-4.90295533e-04 -4.21206338e-03  2.80842324e+00]
 [-7.29685040e-05 -3.51127128e-04  1.24782704e+00]]","[[ 1.27492753e+02 -7.26893199e+01  4.27167799e+02]
 [-1.21489964e+01 -2.85317270e+02  6.17033635e+02]
 [ 4.03670785e-03 -8.45362864e-02  1.00000000e+00]]",7,"[[ 9.01613656e-03 -1.68054239e-03 -2.99388407e+00]
 [-3.18425700e-04 -4.69164225e-03  2.95469174e+00]
 [ 2.54484844e-04 -5.54415184e-04  1.21950970e+00]]","[[ 9.53266867e+01 -8.65936563e+01  4.43829689e+02]
 [-2.66191461e+01 -2.74471700e+02  5.99654622e+02]
 [-3.19942153e-02 -1.06710513e-01  1.00000000e+00]]"
12,6657.850023999999,"[[ 7.80808621e-03 -1.25097775e-03 -2.55375545e+00]
 [-4.96370579e-04 -4.21884188e-03  2.81962812e+00]
 [-7.94312475e-05 -3.62728067e-04  1.25808773e+00]]","[[ 1.27671508e+02 -7.44936632e+01  4.26111967e+02]
 [-1.19334605e+01 -2.86645640e+02  6.18207260e+02]
 [ 4.62011191e-03 -8.73480766e-02  1.00000000e+00]]",7,"[[ 9.03030541e-03 -1.71506988e-03 -2.97016972e+00]
 [-3.21947700e-04 -4.70400673e-03  2.96769445e+00]
 [ 2.51944175e-04 -5.68394079e-04  1.22975517e+00]]","[[ 9.52331477e+01 -8.82471320e+01  4.42973649e+02]
 [-2.65765616e+01 -2.75462859e+02  6.00568891e+02]
 [-3.17944563e-02 -1.09239717e-01  1.00000000e+00]]"
13,6657.917044999995,"[[ 7.80097042e-03 -1.25218466e-03 -2.54870309e+00]
 [-5.00685848e-04 -4.21765998e-03  2.82170559e+00]
 [-8.09906204e-05 -3.61079493e-04  1.25781129e+00]]","[[ 1.27835215e+02 -7.44224973e+01  4.25987894e+02]
 [-1.19669277e+01 -2.86491911e+02  6.18451817e+02]
 [ 4.79598271e-03 -8.70352164e-02  1.00000000e+00]]",7,"[[ 9.02421624e-03 -1.71749446e-03 -2.96486713e+00]
 [-3.26530352e-04 -4.70359716e-03  2.97040137e+00]
 [ 2.50501809e-04 -5.66942400e-04  1.22965925e+00]]","[[ 9.53278891e+01 -8.81910790e+01  4.42884827e+02]
 [-2.66377459e+01 -2.75289843e+02  6.00771268e+02]
 [-3.17013646e-02 -1.08958201e-01  1.00000000e+00]]"
14,6658.017575999998,"[[ 7.79400694e-03 -1.25986459e-03 -2.54082809e+00]
 [-5.06680138e-04 -4.21301636e-03  2.82204131e+00]
 [-7.85203664e-05 -3.54658767e-04  1.25284331e+00]]","[[ 1.27779995e+02 -7.40722183e+01  4.25992505e+02]
 [-1.23437702e+01 -2.85743667e+02  6.18606515e+02]
 [ 4.51413647e-03 -8.55315852e-02  1.00000000e+00]]",7,"[[ 9.01477205e-03 -1.72453083e-03 -2.95608519e+00]
 [-3.33891911e-04 -4.69904209e-03  2.97161648e+00]
 [ 2.51918698e-04 -5.60824250e-04  1.22544241e+00]]","[[ 9.52998347e+01 -8.78308357e+01  4.42871882e+02]
 [-2.69646655e+01 -2.74632297e+02  6.00919311e+02]
 [-3.19315279e-02 -1.07629882e-01  1.00000000e+00]]"
15,6658.084596999994,"[[ 7.78031062e-03 -1.24322523e-03 -2.52961350e+00]
 [-5.14581344e-04 -4.20143089e-03  2.82400851e+00]
 [-7.87325873e-05 -3.45946973e-04  1.24795548e+00]]","[[ 1.28007043e+02 -7.28093172e+01  4.24231862e+02]
 [-1.25969416e+01 -2.85353681e+02  6.20195066e+02]
 [ 4.58385895e-03 -8.36966622e-02  1.00000000e+00]]",7,"[[ 9.01714554e-03 -1.71850198e-03 -2.94635428e+00]
 [-3.40190142e-04 -4.69455267e-03  2.97687736e+00]
 [ 2.55079812e-04 -5.54068582e-04  1.22099704e+00]]","[[ 9.51307872e+01 -8.69317043e+01  4.41503139e+02]
 [-2.73723140e+01 -2.74057251e+02  6.02119636e+02]
 [-3.22949863e-02 -1.06201723e-01  1.00000000e+00]]"
16,6658.151617999989,"[[ 7.76224653e-03 -1.26798391e-03 -2.50558026e+00]
 [-5.23765728e-04 -4.20053579e-03  2.82921956e+00]
 [-8.54598347e-05 -3.50802436e-04  1.25397451e+00]]","[[ 1.28491241e+02 -7.42111175e+01  4.24175018e+02]
 [-1.24739321e+01 -2.86132032e+02  6.20647306e+02]
 [ 5.26721585e-03 -8.51037101e-02  1.00000000e+00]]",7,"[[ 8.99845589e-03 -1.74326700e-03 -2.92186390e+00]
 [-3.50124269e-04 -4.69380294e-03  2.98271397e+00]
 [ 2.47838333e-04 -5.59597226e-04  1.22776954e+00]]","[[ 9.55436191e+01 -8.81127547e+01  4.41435121e+02]
 [-2.72853064e+01 -2.74747050e+02  6.02529943e+02]
 [-3.17226904e-02 -1.07438704e-01  1.00000000e+00]]"
17,6658.620762999999,"[[ 7.73793882e-03 -1.36814345e-03 -2.41126271e+00]
 [-5.59352365e-04 -4.20013546e-03  2.83228248e+00]
 [-9.09527167e-05 -3.60682221e-04  1.26128525e+00]]","[[ 1.28541393e+02 -7.80179417e+01  4.20932470e+02]
 [-1.34643061e+01 -2.86795321e+02  6.18273610e+02]
 [ 5.41895899e-03 -8.76391103e-02  1.00000000e+00]]",7,"[[ 8.99342794e-03 -1.84805848e-03 -2.83360652e+00]
 [-3.81981742e-04 -4.68906855e-03  2.98175111e+00]
 [ 2.50288811e-04 -5.66512927e-04  1.23028187e+00]]","[[ 9.51489536e+01 -9.04665082e+01  4.38406286e+02]
 [-2.83660695e+01 -2.74593534e+02  6.00180587e+02]
 [-3.24189638e-02 -1.08038682e-01  1.00000000e+00]]"
18,6658.888846000002,"[[ 7.73615871e-03 -1.44367538e-03 -2.35850376e+00]
 [-5.83548444e-04 -4.20395558e-03  2.82220038e+00]
 [-9.06376166e-05 -3.67680194e-04  1.26343487e+00]]","[[ 1.28091319e+02 -8.06585112e+01  4.19284248e+02]
 [-1.44306627e+01 -2.86539363e+02  6.13119636e+02]
 [ 4.98959082e-03 -8.91740020e-02  1.00000000e+00]]",7,"[[ 8.99356900e-03 -1.91294322e-03 -2.78727602e+00]
 [-4.03670042e-04 -4.67903524e-03  2.96278090e+00]
 [ 2.55308759e-04 -5.65802340e-04  1.22549133e+00]]","[[ 9.46894873e+01 -9.15059346e+01  4.36590418e+02]
 [-2.91952878e+01 -2.73797417e+02  5.95537816e+02]
 [-3.32061244e-02 -1.07347110e-01  1.00000000e+00]]"
19,6659.022887999992,"[[ 7.70521398e-03 -1.46932570e-03 -2.30811537e+00]
 [-6.07161325e-04 -4.19464539e-03  2.82013519e+00]
 [-1.01407272e-04 -3.72098631e-04  1.26996097e+00]]","[[ 1.28795913e+02 -8.20417519e+01  4.16268428e+02]
 [-1.46055009e+01 -2.87578084e+02  6.12064396e+02]
 [ 6.00503124e-03 -9.08114851e-02  1.00000000e+00]]",7,"[[ 8.98062887e-03 -1.94057612e-03 -2.74333766e+00]
 [-4.24077582e-04 -4.66903087e-03  2.95898617e+00]
 [ 2.50371840e-04 -5.67828012e-04  1.22884501e+00]]","[[ 9.48996618e+01 -9.22119750e+01  4.33899940e+02]
 [-2.95172073e+01 -2.74189866e+02  5.94337242e+02]
 [-3.29747851e-02 -1.07910602e-01  1.00000000e+00]]"
