world_timestamp,world_index,fixation_id,start_timestamp,duration,dispersion,norm_pos_x,norm_pos_y,x_scaled,y_scaled,on_surf
6656.878221999999,0,0,6656.706661999997,209.79500000248663,1.3923951661345677,-0.8516396880149841,-0.05244457721710205,-0.8516396880149841,-0.05244457721710205,False
6656.945242999995,1,0,6656.706661999997,209.79500000248663,1.3923951661345677,-0.8393059372901917,-0.058304041624069214,-0.8393059372901917,-0.058304041624069214,False
6657.045773999998,2,1,6656.997147000002,129.10399999236688,0.8947936278111082,-0.8131384253501892,-0.05753780156373978,-0.8131384253501892,-0.05753780156373978,False
6657.112794999994,3,1,6656.997147000002,129.10399999236688,0.8947936278111082,-0.7275607585906982,-0.03059406764805317,-0.7275607585906982,-0.03059406764805317,False
6657.380877999996,6,2,6657.3521839999885,193.65700001071673,0.5547352404283739,0.5882373452186584,0.5838306546211243,0.5882373452186584,0.5838306546211243,True
6657.447898999992,7,2,6657.3521839999885,193.65700001071673,0.5547352404283739,0.5877351760864258,0.5837494730949402,0.5877351760864258,0.5837494730949402,True
6657.514920000001,8,2,6657.3521839999885,193.65700001071673,0.5547352404283739,0.5857793092727661,0.5840242505073547,0.5857793092727661,0.5840242505073547,True
6657.615450999991,9,3,6657.610392999995,217.86400000564754,0.398490323500472,0.4702800214290619,0.5073052644729614,0.4702800214290619,0.5073052644729614,True
6657.682472,10,3,6657.610392999995,217.86400000564754,0.398490323500472,0.4739970862865448,0.505428671836853,0.4739970862865448,0.505428671836853,True
6657.78300299999,11,3,6657.610392999995,217.86400000564754,0.398490323500472,0.48011189699172974,0.5125375986099243,0.48011189699172974,0.5125375986099243,True
6657.850023999999,12,3,6657.610392999995,217.86400000564754,0.398490323500472,0.4836939871311188,0.5163774490356445,0.4836939871311188,0.5163774490356445,True
6658.084596999994,15,4,6658.078395999997,209.79500000248663,0.2542990611327296,0.47165605425834656,0.5002159476280212,0.47165605425834656,0.5002159476280212,True
6658.151617999989,16,4,6658.078395999997,209.79500000248663,0.2542990611327296,0.47220245003700256,0.5004018545150757,0.47220245003700256,0.5004018545150757,True
6658.151617999989,16,5,6658.360811999999,129.10499999998137,0.08009523233359206,0.46267446875572205,0.5075163245201111,0.46267446875572205,0.5075163245201111,True
6658.620762999999,17,5,6658.360811999999,129.10499999998137,0.08009523233359206,0.4716975688934326,0.48999282717704773,0.4716975688934326,0.48999282717704773,True
6658.620762999999,17,6,6658.610951999988,153.3110000018496,0.25801495143721886,0.4685576856136322,0.5067511200904846,0.4685576856136322,0.5067511200904846,True
6658.888846000002,18,6,6658.610951999988,153.3110000018496,0.25801495143721886,0.4729284942150116,0.48134705424308777,0.4729284942150116,0.48134705424308777,True
6658.888846000002,18,7,6658.844954,217.86299999803305,0.28686815430070045,0.47006845474243164,0.5042721629142761,0.47006845474243164,0.5042721629142761,True
6659.022887999992,19,7,6658.844954,217.86299999803305,0.28686815430070045,0.4763311445713043,0.493617445230484,0.4763311445713043,0.493617445230484,True
6659.022887999992,19,8,6659.087023999993,161.3809999980731,0.2988077398884417,0.47157520055770874,0.5069881081581116,0.47157520055770874,0.5069881081581116,True
6659.22395,20,8,6659.087023999993,161.3809999980731,0.2988077398884417,0.48090365529060364,0.49639618396759033,0.48090365529060364,0.49639618396759033,True
6659.559053999998,22,9,6659.506613999998,177.51799999678042,0.24382091540394962,0.4670356214046478,0.4704802334308624,0.4670356214046478,0.4704802334308624,True
6659.760116999998,23,9,6659.506613999998,177.51799999678042,0.24382091540394962,0.43781688809394836,0.4416009187698364,0.43781688809394836,0.4416009187698364,True
6659.760116999998,23,10,6659.740615000002,201.72599999932572,0.45486836015794485,0.9491252303123474,0.21954934298992157,0.9491252303123474,0.21954934298992157,True
6659.927668999997,24,10,6659.740615000002,201.72599999932572,0.45486836015794485,0.9377945065498352,0.20805144309997559,0.9377945065498352,0.20805144309997559,True
6660.0617099999945,25,11,6660.063375999991,217.86400000564754,0.8488499860136849,0.36564528942108154,0.3253153860569,0.36564528942108154,0.3253153860569,True
6660.195752,26,11,6660.063375999991,217.86400000564754,0.8488499860136849,0.3592989146709442,0.31950557231903076,0.3592989146709442,0.31950557231903076,True
6660.363303999999,27,11,6660.063375999991,217.86400000564754,0.8488499860136849,0.3477267622947693,0.2233024686574936,0.3477267622947693,0.2233024686574936,True
6660.363303999999,27,12,6660.369999000002,104.89799999049865,1.1709458252796294,0.42296746373176575,0.33015885949134827,0.42296746373176575,0.33015885949134827,True
6660.530855999998,28,12,6660.369999000002,104.89799999049865,1.1709458252796294,0.5456012487411499,0.3350440263748169,0.5456012487411499,0.3350440263748169,True
6660.530855999998,28,13,6660.539448999989,121.03500000375789,1.1440663340852755,0.42840734124183655,0.32693275809288025,0.42840734124183655,0.32693275809288025,True
6660.664897999988,29,13,6660.539448999989,121.03500000375789,1.1440663340852755,0.3806217610836029,0.38553816080093384,0.3806217610836029,0.38553816080093384,True
6660.932980999991,31,14,6660.878347999998,96.82799999427516,1.4415058423251865,0.4683131277561188,0.4110027849674225,0.4683131277561188,0.4110027849674225,True
6661.134042999998,32,15,6661.088143000001,217.86299999803305,1.4253594164362717,0.4240780174732208,0.4151870310306549,0.4240780174732208,0.4151870310306549,True
6661.335105999999,33,15,6661.088143000001,217.86299999803305,1.4253594164362717,0.37109729647636414,0.31937384605407715,0.37109729647636414,0.31937384605407715,True
6661.469146999996,34,16,6661.475456,177.51799999678042,0.7877979778506891,0.33943474292755127,0.31898263096809387,0.33943474292755127,0.31898263096809387,True
