world_index,world_timestamp,img_to_surf_trans,surf_to_img_trans,num_detected_markers,dist_img_to_surf_trans,surf_to_dist_img_trans
10,6657.682472,"[[ 3.37829408e-03 -3.71972958e-04 -1.66310990e+00]
 [-4.82919719e-04 -4.43075112e-03  2.88611530e+00]
 [ 5.84554929e-07 -6.93653732e-05  1.04064406e+00]]","[[ 2.91169428e+02 -3.31696096e+01  5.57326079e+02]
 [-3.32871789e+01 -2.32147528e+02  5.90638353e+02]
 [-2.38235359e-03 -1.54554386e-02  1.00000000e+00]]",7,"[[ 3.49528100e-03 -4.42610407e-04 -1.70443484e+00]
 [-5.36080330e-04 -4.72060851e-03  3.04952039e+00]
 [-3.80453205e-05 -1.97354435e-04  1.13626740e+00]]","[[ 2.84519374e+02 -5.01460915e+01  5.61369853e+02]
 [-2.94620811e+01 -2.33416873e+02  5.82251430e+02]
 [ 4.40931284e-03 -4.22204133e-02  1.00000000e+00]]"
11,6657.78300299999,"[[ 3.37322772e-03 -3.73037048e-04 -1.65070878e+00]
 [-4.88897328e-04 -4.41790239e-03  2.89112915e+00]
 [ 1.12531258e-06 -6.05907002e-05  1.03530591e+00]]","[[ 2.91595250e+02 -3.22324232e+01  5.54934474e+02]
 [-3.37694935e+01 -2.31633255e+02  5.93001597e+02]
 [-2.29328650e-03 -1.35211723e-02  1.00000000e+00]]",7,"[[ 3.49620991e-03 -4.47714345e-04 -1.69355570e+00]
 [-5.39504229e-04 -4.71767807e-03  3.05795316e+00]
 [-3.29354944e-05 -1.92421356e-04  1.13083818e+00]]","[[ 2.83618931e+02 -4.97246536e+01  5.59213626e+02]
 [-3.04368359e+01 -2.32909745e+02  5.84239748e+02]
 [ 3.08128302e-03 -4.10797192e-02  1.00000000e+00]]"
12,6657.850023999999,"[[ 3.37754606e-03 -3.79214296e-04 -1.64494440e+00]
 [-4.95208973e-04 -4.42672291e-03  2.90391518e+00]
 [-4.88466948e-06 -7.18375436e-05  1.04538005e+00]]","[[ 2.91890115e+02 -3.39905738e+01  5.53720874e+02]
 [-3.32577165e+01 -2.32692111e+02  5.94052911e+02]
 [-9.21546123e-04 -1.61492105e-02  1.00000000e+00]]",7,"[[ 3.50332160e-03 -4.55883773e-04 -1.68845928e+00]
 [-5.43293483e-04 -4.72967863e-03  3.07067374e+00]
 [-3.57613768e-05 -2.04412197e-04  1.13956549e+00]]","[[ 2.83167072e+02 -5.14144922e+01  5.58101491e+02]
 [-3.02847709e+01 -2.33800384e+02  5.85126614e+02]
 [ 3.45383204e-03 -4.35519534e-02  1.00000000e+00]]"
13,6657.917044999995,"[[ 3.37584480e-03 -3.80531655e-04 -1.64297833e+00]
 [-4.99797227e-04 -4.42640491e-03  2.90668728e+00]
 [-6.16470244e-06 -7.03001299e-05  1.04518230e+00]]","[[ 2.92212155e+02 -3.39142950e+01  5.53660816e+02]
 [-3.33350205e+01 -2.32487569e+02  5.94154667e+02]
 [-5.18622723e-04 -1.58374073e-02  1.00000000e+00]]",7,"[[ 3.50184848e-03 -4.57488129e-04 -1.68647928e+00]
 [-5.47859369e-04 -4.72964710e-03  3.07359673e+00]
 [-3.66854058e-05 -2.02891454e-04  1.13920756e+00]]","[[ 2.83376059e+02 -5.13494699e+01  5.58050555e+02]
 [-3.04148536e+01 -2.33594768e+02  5.85215649e+02]
 [ 3.70858831e-03 -4.32565230e-02  1.00000000e+00]]"
14,6658.017575999998,"[[ 3.37097897e-03 -3.86543015e-04 -1.63704136e+00]
 [-5.06143326e-04 -4.42084709e-03  2.90664739e+00]
 [-3.32952036e-06 -6.42373259e-05  1.04000632e+00]]","[[ 2.92153055e+02 -3.35911151e+01  5.53750638e+02]
 [-3.42235189e+01 -2.31841028e+02  5.94087547e+02]
 [-1.17854841e-03 -1.44274989e-02  1.00000000e+00]]",7,"[[ 3.49695824e-03 -4.62761096e-04 -1.68096392e+00]
 [-5.55047538e-04 -4.72437350e-03  3.07428542e+00]
 [-3.43807400e-05 -1.96975208e-04  1.13445018e+00]]","[[ 2.83351264e+02 -5.10250494e+01  5.58128359e+02]
 [-3.12304262e+01 -2.33006363e+02  5.85156455e+02]
 [ 3.16471054e-03 -4.20033922e-02  1.00000000e+00]]"
15,6658.084596999994,"[[ 3.36564623e-03 -3.83247987e-04 -1.63032863e+00]
 [-5.14573227e-04 -4.40948923e-03  2.90931698e+00]
 [-3.07478592e-06 -5.62072001e-05  1.03516062e+00]]","[[ 2.92659129e+02 -3.24750471e+01  5.52195238e+02]
 [-3.48264904e+01 -2.31345514e+02  5.95346073e+02]
 [-1.02171134e-03 -1.26580718e-02  1.00000000e+00]]",7,"[[ 3.49528787e-03 -4.62837665e-04 -1.67467555e+00]
 [-5.61444577e-04 -4.71840520e-03  3.07844432e+00]
 [-3.09786663e-05 -1.90588686e-04  1.12896763e+00]]","[[ 2.82963118e+02 -5.02447968e+01  5.56745125e+02]
 [-3.21445379e+01 -2.32460473e+02  5.86185941e+02]
 [ 2.33791890e-03 -4.06219380e-02  1.00000000e+00]]"
16,6658.151617999989,"[[ 3.36306453e-03 -3.91983430e-04 -1.62373498e+00]
 [-5.24330019e-04 -4.41128629e-03  2.91650459e+00]
 [-9.22284512e-06 -6.12947780e-05  1.04159462e+00]]","[[ 2.93598472e+02 -3.37620736e+01  5.52223814e+02]
 [-3.45217686e+01 -2.31898252e+02  5.95508181e+02]
 [ 5.68176029e-04 -1.39454775e-02  1.00000000e+00]]",7,"[[ 3.49285253e-03 -4.70787844e-04 -1.66863043e+00]
 [-5.71276737e-04 -4.71954441e-03  3.08536936e+00]
 [-3.68874240e-05 -1.95404315e-04  1.13511277e+00]]","[[ 2.83778660e+02 -5.13593321e+01  5.56758972e+02]
 [-3.19126315e+01 -2.32978268e+02  5.86350222e+02]
 [ 3.72826206e-03 -4.17751203e-02  1.00000000e+00]]"
17,6658.620762999999,"[[ 3.35528444e-03 -4.30622137e-04 -1.58663220e+00]
 [-5.61636550e-04 -4.41110867e-03  2.91991364e+00]
 [-1.23220744e-05 -7.18067583e-05  1.04927722e+00]]","[[ 2.93757175e+02 -3.76119344e+01  5.48861810e+02]
 [-3.67849462e+01 -2.32747313e+02  5.92062672e+02]
 [ 9.32346572e-04 -1.63696369e-02  1.00000000e+00]]",7,"[[ 3.48721437e-03 -5.09526653e-04 -1.63312975e+00]
 [-6.03016219e-04 -4.70903887e-03  3.08011513e+00]
 [-3.21080657e-05 -1.99074567e-04  1.13387376e+00]]","[[ 2.82525746e+02 -5.39703943e+01  5.53532721e+02]
 [-3.49607800e+01 -2.33229642e+02  5.83203069e+02]
 [ 1.86224706e-03 -4.24764877e-02  1.00000000e+00]]"
18,6658.888846000002,"[[ 3.35269443e-03 -4.59723889e-04 -1.56417987e+00]
 [-5.86824994e-04 -4.41289891e-03  2.90792642e+00]
 [-1.03111061e-05 -7.89084387e-05  1.05189796e+00]]","[[ 2.92897101e+02 -4.02930291e+01  5.46928443e+02]
 [-3.89844532e+01 -2.33029683e+02  5.86230319e+02]
 [-5.33409512e-05 -1.78757588e-02  1.00000000e+00]]",7,"[[ 3.48231791e-03 -5.35351714e-04 -1.61131500e+00]
 [-6.24624555e-04 -4.69388512e-03  3.05755012e+00]
 [-2.57218452e-05 -1.96816308e-04  1.12794556e+00]]","[[ 2.81335302e+02 -5.52146875e+01  5.51570472e+02]
 [-3.75237941e+01 -2.32998826e+02  5.77991492e+02]
 [-1.31949222e-04 -4.19153140e-02  1.00000000e+00]]"
19,6659.022887999992,"[[ 3.34744469e-03 -4.69188357e-04 -1.54700382e+00]
 [-6.11872927e-04 -4.40719890e-03  2.90839816e+00]
 [-1.95685444e-05 -8.41384433e-05  1.05981569e+00]]","[[ 2.94290468e+02 -4.17166392e+01  5.44054101e+02]
 [-3.93325692e+01 -2.33870761e+02  5.84386192e+02]
 [ 2.31120841e-03 -1.93371884e-02  1.00000000e+00]]",7,"[[ 3.47983247e-03 -5.45588670e-04 -1.59551170e+00]
 [-6.45168988e-04 -4.68393318e-03  3.05325371e+00]
 [-2.90053262e-05 -1.98483138e-04  1.13029702e+00]]","[[ 2.81552577e+02 -5.60532473e+01  5.48851502e+02]
 [-3.84757933e+01 -2.33433186e+02  5.76257525e+02]
 [ 4.68662765e-04 -4.24299040e-02  1.00000000e+00]]"
20,6659.22395,"[[ 3.34081987e-03 -4.95901385e-04 -1.51649219e+00]
 [-6.49420417e-04 -4.41516255e-03  2.92272715e+00]
 [-2.45957659e-05 -8.92216904e-05  1.06526204e+00]]","[[ 2.94748053e+02 -4.40256909e+01  5.40391173e+02]
 [-4.11294720e+01 -2.33643616e+02  5.82489559e+02]
 [ 3.36059389e-03 -2.05854739e-02  1.00000000e+00]]",7,"[[ 3.47797061e-03 -5.73496121e-04 -1.56740940e+00]
 [-6.77936177e-04 -4.68952055e-03  3.06360523e+00]
 [-2.61360535e-05 -2.00452944e-04  1.12940328e+00]]","[[ 2.80394329e+02 -5.76029260e+01  5.45390071e+02]
 [-4.10563899e+01 -2.32775022e+02  5.74443708e+02]
 [-7.98185224e-04 -4.26472568e-02  1.00000000e+00]]"
21,6659.391501999999,"[[ 3.33212638e-03 -5.06408664e-04 -1.49017618e+00]
 [-6.75264869e-04 -4.41004659e-03  2.91967064e+00]
 [-3.06894639e-05 -8.87006144e-05  1.06788320e+00]]","[[ 2.95969908e+02 -4.47545477e+01  5.35373009e+02]
 [-4.19970472e+01 -2.33599624e+02  5.80073702e+02]
 [ 5.01739693e-03 -2.06894566e-02  1.00000000e+00]]",7,"[[ 3.47464886e-03 -5.84034969e-04 -1.54437302e+00]
 [-6.97767727e-04 -4.68045809e-03  3.05509847e+00]
 [-2.33217994e-05 -1.95609850e-04  1.12452411e+00]]","[[ 2.79876982e+02 -5.75182359e+01  5.40636107e+02]
 [-4.27946106e+01 -2.32225549e+02  5.72136314e+02]
 [-1.63963806e-03 -4.15882891e-02  1.00000000e+00]]"
22,6659.559053999998,"[[ 3.33198717e-03 -5.11175909e-04 -1.49274681e+00]
 [-6.63031475e-04 -4.40966250e-03  2.90750535e+00]
 [-2.96402767e-05 -8.79584206e-05  1.06680644e+00]]","[[ 2.95939120e+02 -4.50127394e+01  5.36776811e+02]
 [-4.13220184e+01 -2.33526581e+02  5.78639618e+02]
 [ 4.81539830e-03 -2.05049561e-02  1.00000000e+00]]",7,"[[ 3.47154368e-03 -5.86728592e-04 -1.54624417e+00]
 [-6.86777358e-04 -4.67594181e-03  3.04165508e+00]
 [-2.44661172e-05 -1.93388776e-04  1.12366367e+00]]","[[ 2.80479168e+02 -5.76057847e+01  5.41893650e+02]
 [-4.19152650e+01 -2.32212631e+02  5.70899917e+02]
 [-1.10683083e-03 -4.12193682e-02  1.00000000e+00]]"
23,6659.760116999998,"[[ 3.35235094e-03 -4.57233386e-04 -1.57267638e+00]
 [-5.80343058e-04 -4.43890141e-03  2.84071524e+00]
 [-1.79181967e-05 -1.00697371e-04  1.06704049e+00]]","[[ 2.93833578e+02 -4.26677884e+01  5.46663571e+02]
 [-3.75244295e+01 -2.34311994e+02  5.68488146e+02]
 [ 1.39297098e-03 -2.28286855e-02  1.00000000e+00]]",7,"[[ 3.46488319e-03 -5.17228651e-04 -1.61776359e+00]
 [-6.14371507e-04 -4.67012906e-03  2.96386219e+00]
 [-3.44485130e-05 -1.92761765e-04  1.12734181e+00]]","[[ 2.84468708e+02 -5.42411294e+01  5.50823491e+02]
 [-3.57899320e+01 -2.33367251e+02  5.62179738e+02]
 [ 2.57294950e-03 -4.15604292e-02  1.00000000e+00]]"
24,6659.927668999997,"[[ 3.35455050e-03 -4.25319814e-04 -1.60483691e+00]
 [-5.37916919e-04 -4.44663737e-03  2.79743514e+00]
 [-1.38895300e-05 -1.07568619e-04  1.06815476e+00]]","[[ 2.93740861e+02 -4.13949727e+01  5.49738621e+02]
 [-3.53723600e+01 -2.35115774e+02  5.62609726e+02]
 [ 2.57422077e-04 -2.42156255e-02  1.00000000e+00]]",7,"[[ 3.45601878e-03 -4.77720805e-04 -1.64694782e+00]
 [-5.75056763e-04 -4.65975671e-03  2.91377753e+00]
 [-3.86795359e-05 -1.91476446e-04  1.12806203e+00]]","[[ 2.86867138e+02 -5.21554685e+01  5.53537503e+02]
 [-3.27247480e+01 -2.34136294e+02  5.56995185e+02]
 [ 4.28156360e-03 -4.15304596e-02  1.00000000e+00]]"
25,6660.0617099999945,"[[ 3.35684230e-03 -4.12320368e-04 -1.61012145e+00]
 [-5.20734376e-04 -4.43157471e-03  2.78446812e+00]
 [-1.56037461e-05 -1.10803914e-04  1.07103904e+00]]","[[ 2.94077025e+02 -4.10858729e+01  5.48908120e+02]
 [-3.40789409e+01 -2.36580143e+02  5.63825042e+02]
 [ 7.58724153e-04 -2.50738753e-02  1.00000000e+00]]",7,"[[ 3.45996320e-03 -4.65750066e-04 -1.65272442e+00]
 [-5.56884119e-04 -4.64733897e-03  2.90138521e+00]
 [-3.97117467e-05 -1.96065645e-04  1.13137087e+00]]","[[ 2.86982353e+02 -5.20826871e+01  5.52793691e+02]
 [-3.15088862e+01 -2.35563451e+02  5.58070587e+02]
 [ 4.61277601e-03 -4.26510842e-02  1.00000000e+00]]"
