world_index,world_timestamp,img_to_surf_trans,surf_to_img_trans,num_detected_markers,dist_img_to_surf_trans,surf_to_dist_img_trans
10,6657.682472,"[[ 2.15288236e-03 -3.22440689e-04 -7.27051316e-01]
 [-4.27370233e-04 -3.91483644e-03  2.58896835e+00]
 [-1.24642066e-04 -6.02746768e-05  1.09059601e+00]]","[[ 4.80208210e+02 -4.61681132e+01  4.29731808e+02]
 [-1.67399227e+01 -2.63519494e+02  6.14409771e+02]
 [ 5.39568726e-02 -1.98405653e-02  1.00000000e+00]]",7,"[[ 2.35107782e-03 -4.18520617e-04 -7.98144738e-01]
 [-4.35055630e-04 -4.33585375e-03  2.78502084e+00]
 [-7.88184906e-05 -1.94280026e-04  1.15124099e+00]]","[[ 4.28925851e+02 -6.13802135e+01  4.45858071e+02]
 [-2.71147341e+01 -2.54794353e+02  5.97586525e+02]
 [ 2.47901502e-02 -4.72006728e-02  1.00000000e+00]]"
11,6657.78300299999,"[[ 2.14945394e-03 -3.20390479e-04 -7.20485822e-01]
 [-4.32552102e-04 -3.90266092e-03  2.59284539e+00]
 [-1.23899979e-04 -5.15384836e-05  1.08472706e+00]]","[[ 4.80779433e+02 -4.51109480e+01  4.27167807e+02]
 [-1.73501155e+01 -2.62959603e+02  6.17033637e+02]
 [ 5.40913611e-02 -1.76466370e-02  1.00000000e+00]]",7,"[[ 2.35436696e-03 -4.20741131e-04 -7.92638620e-01]
 [-4.38270538e-04 -4.33525698e-03  2.79417432e+00]
 [-7.37811309e-05 -1.89325498e-04  1.14627616e+00]]","[[ 4.27323122e+02 -6.08546837e+01  4.43829699e+02]
 [-2.85070231e+01 -2.54087782e+02  5.99654611e+02]
 [ 2.27966678e-02 -4.58835530e-02  1.00000000e+00]]"
12,6657.850023999999,"[[ 2.14935665e-03 -3.27501488e-04 -7.13402807e-01]
 [-4.38177278e-04 -3.90900702e-03  2.60328911e+00]
 [-1.29944943e-04 -6.23984902e-05  1.09394630e+00]]","[[ 4.81408080e+02 -4.71348875e+01  4.26111973e+02]
 [-1.65069996e+01 -2.64304752e+02  6.18207262e+02]
 [ 5.62427369e-02 -2.06748337e-02  1.00000000e+00]]",7,"[[ 2.35807838e-03 -4.29705493e-04 -7.86498859e-01]
 [-4.41768410e-04 -4.34620743e-03  2.80588870e+00]
 [-7.66443717e-05 -2.01178378e-04  1.15477291e+00]]","[[ 4.26726684e+02 -6.26945507e+01  4.42973659e+02]
 [-2.82689872e+01 -2.55090018e+02  6.00568880e+02]
 [ 2.33977515e-02 -4.86015736e-02  1.00000000e+00]]"
13,6657.917044999995,"[[ 2.14741657e-03 -3.27838054e-04 -7.12021438e-01]
 [-4.42191576e-04 -3.90791618e-03  2.60522613e+00]
 [-1.31134135e-04 -6.08172489e-05  1.09347409e+00]]","[[ 4.81997758e+02 -4.70646274e+01  4.25987901e+02]
 [-1.66209167e+01 -2.64121215e+02  6.18451819e+02]
 [ 5.68788241e-02 -2.03341853e-02  1.00000000e+00]]",7,"[[ 2.35650659e-03 -4.30339853e-04 -7.85125224e-01]
 [-4.45932793e-04 -4.34578840e-03  2.80832163e+00]
 [-7.75581501e-05 -1.99659144e-04  1.15429880e+00]]","[[ 4.27079891e+02 -6.26389230e+01  4.42884837e+02]
 [-2.84613891e+01 -2.54890782e+02  6.00771257e+02]
 [ 2.37728304e-02 -4.82972297e-02  1.00000000e+00]]"
14,6658.017575999998,"[[ 2.14552495e-03 -3.29968421e-04 -7.09856946e-01]
 [-4.47759815e-04 -3.90363833e-03  2.60555844e+00]
 [-1.28181205e-04 -5.46293437e-05  1.08839830e+00]]","[[ 4.81793404e+02 -4.66867790e+01  4.25992511e+02]
 [-1.79931482e+01 -2.63307410e+02  6.18606517e+02]
 [ 5.58379273e-02 -1.87143609e-02  1.00000000e+00]]",7,"[[ 2.35406975e-03 -4.32193647e-04 -7.82837819e-01]
 [-4.52627777e-04 -4.34144260e-03  2.80931277e+00]
 [-7.53051957e-05 -1.93560283e-04  1.14966466e+00]]","[[ 4.26993832e+02 -6.22526784e+01  4.42871892e+02]
 [-2.96489781e+01 -2.54178187e+02  6.00919300e+02]
 [ 2.29771257e-02 -4.68717127e-02  1.00000000e+00]]"
15,6658.084596999994,"[[ 2.14178913e-03 -3.25437654e-04 -7.06780375e-01]
 [-4.55111773e-04 -3.89286762e-03  2.60741022e+00]
 [-1.27708438e-04 -4.68847865e-05  1.08325570e+00]]","[[ 4.82537577e+02 -4.54487373e+01  4.24231869e+02]
 [-1.88566675e+01 -2.62773139e+02  6.20195068e+02]
 [ 5.60717376e-02 -1.67312757e-02  1.00000000e+00]]",7,"[[ 2.35471320e-03 -4.30637255e-04 -7.80318150e-01]
 [-4.58520614e-04 -4.33736394e-03  2.81405024e+00]
 [-7.18329871e-05 -1.87324907e-04  1.14450649e+00]]","[[ 4.26195905e+02 -6.13829908e+01  4.41503149e+02]
 [-3.09910049e+01 -2.53482561e+02  6.02119625e+02]
 [ 2.16770617e-02 -4.53408707e-02  1.00000000e+00]]"
16,6658.151617999989,"[[ 2.13685709e-03 -3.32250379e-04 -7.00191106e-01]
 [-4.63663576e-04 -3.89210665e-03  2.61230002e+00]
 [-1.33616320e-04 -5.15339171e-05  1.08866109e+00]]","[[ 4.84310925e+02 -4.69596302e+01  4.24175024e+02]
 [-1.83836502e+01 -2.63578701e+02  6.20647308e+02]
 [ 5.85714531e-02 -1.82405856e-02  1.00000000e+00]]",7,"[[ 2.34987317e-03 -4.37103621e-04 -7.73948553e-01]
 [-4.67461423e-04 -4.33627625e-03  2.81909013e+00]
 [-7.77163189e-05 -1.91943895e-04  1.14995866e+00]]","[[ 4.27690896e+02 -6.26519165e+01  4.41435130e+02]
 [-3.06399014e+01 -2.54194859e+02  6.02529932e+02]
 [ 2.37899162e-02 -4.66627452e-02  1.00000000e+00]]"
17,6658.620762999999,"[[ 2.13031148e-03 -3.59798214e-04 -6.74263545e-01]
 [-4.96674289e-04 -3.89200975e-03  2.61539327e+00]
 [-1.36427422e-04 -6.03600574e-05  1.09474576e+00]]","[[ 4.84409266e+02 -5.13095058e+01  4.20932476e+02]
 [-2.20688334e+01 -2.64485130e+02  6.18273612e+02]
 [ 5.91503830e-02 -2.09768898e-02  1.00000000e+00]]",7,"[[ 2.34868223e-03 -4.64471569e-04 -7.50910264e-01]
 [-4.96999653e-04 -4.33022161e-03  2.81680268e+00]
 [-7.30336294e-05 -1.95110393e-04  1.14911987e+00]]","[[ 4.25563840e+02 -6.54007935e+01  4.38406296e+02]
 [-3.51298285e+01 -2.54209775e+02  6.00180576e+02]
 [ 2.10824630e-02 -4.73191943e-02  1.00000000e+00]]"
18,6658.888846000002,"[[ 2.12991681e-03 -3.80556311e-04 -6.59714033e-01]
 [-5.19078653e-04 -3.89575264e-03  2.60620395e+00]
 [-1.34448074e-04 -6.62832085e-05  1.09701150e+00]]","[[ 4.82737719e+02 -5.42899950e+01  4.19284254e+02]
 [-2.57836168e+01 -2.64602893e+02  6.13119638e+02]
 [ 5.76057188e-02 -2.26414346e-02  1.00000000e+00]]",7,"[[ 2.34880166e-03 -4.81444297e-04 -7.38746041e-01]
 [-5.17165254e-04 -4.31987019e-03  2.79843541e+00]
 [-6.66318164e-05 -1.92532657e-04  1.14375129e+00]]","[[ 4.23458705e+02 -6.66523949e+01  4.36590427e+02]
 [-3.89633413e+01 -2.53688595e+02  5.95537805e+02]
 [ 1.81106743e-02 -4.65874966e-02  1.00000000e+00]]"
19,6659.022887999992,"[[ 2.12149889e-03 -3.87647277e-04 -6.45847925e-01]
 [-5.41022817e-04 -3.88720385e-03  2.60442980e+00]
 [-1.43278398e-04 -7.10578219e-05  1.10313424e+00]]","[[ 4.85198260e+02 -5.59952401e+01  4.16268434e+02]
 [-2.64487973e+01 -2.65805241e+02  6.12064397e+02]
 [ 6.13153262e-02 -2.43945378e-02  1.00000000e+00]]",7,"[[ 2.34550210e-03 -4.88694412e-04 -7.27263960e-01]
 [-5.35933781e-04 -4.31013331e-03  2.79421434e+00]
 [-6.97629735e-05 -1.94129767e-04  1.14564870e+00]]","[[ 4.23808374e+02 -6.75955148e+01  4.33899950e+02]
 [-4.04055172e+01 -2.54199237e+02  5.94337230e+02]
 [ 1.89606279e-02 -4.71901226e-02  1.00000000e+00]]"
