world_timestamp,world_index,gaze_timestamp,x_norm,y_norm,x_scaled,y_scaled,on_surf,confidence
6656.878221999999,0,6656.706661999997,-0.8471437692642212,0.06627031415700912,-0.8471437692642212,0.06627031415700912,False,0.9997504713696845
6656.878221999999,0,6656.722799999989,-0.8483794331550598,0.0683370977640152,-0.8483794331550598,0.0683370977640152,False,0.9997287872418077
6656.878221999999,0,6656.730868999992,-0.847374439239502,0.06715065985918045,-0.847374439239502,0.06715065985918045,False,0.9998163605795488
6656.878221999999,0,6656.7954210000025,-0.9137120842933655,0.005558079108595848,-0.9137120842933655,0.005558079108595848,False,0.9995223526209087
6656.878221999999,0,6656.859973999992,-0.9173733592033386,0.01813681796193123,-0.9173733592033386,0.01813681796193123,False,0.9993890034824454
6656.945242999995,1,6656.916456999999,-0.8998186588287354,0.020551737397909164,-0.8998186588287354,0.020551737397909164,False,0.9995008215392419
6657.045773999998,2,6656.997147000002,-0.8282118439674377,0.034988392144441605,-0.8282118439674377,0.034988392144441605,False,0.9994126775437001
6657.045773999998,2,6657.037491999989,-0.8408905863761902,0.03170313686132431,-0.8408905863761902,0.03170313686132431,False,0.9995133034142809
6657.045773999998,2,6657.069768000001,-0.8655904531478882,0.030880041420459747,-0.8655904531478882,0.030880041420459747,False,0.9994153521948266
6657.112794999994,3,6657.126250999994,-0.7284185886383057,0.07723729312419891,-0.7284185886383057,0.07723729312419891,False,0.9995569251723129
6657.179815999989,4,6657.158526999992,-0.06576739996671677,0.5710545778274536,-0.06576739996671677,0.5710545778274536,False,0.29322898987825696
6657.179815999989,4,6657.20694199999,-0.8321315050125122,-1.160114049911499,-0.8321315050125122,-1.160114049911499,False,0.0
6657.179815999989,4,6657.215010999993,-0.8321315050125122,-1.160114049911499,-0.8321315050125122,-1.160114049911499,False,0.0
6657.280346999993,5,6657.231148999999,-0.7236648201942444,-1.095324993133545,-0.7236648201942444,-1.095324993133545,False,0.0
6657.280346999993,5,6657.239218000002,-0.7236648201942444,-1.095324993133545,-0.7236648201942444,-1.095324993133545,False,0.0
6657.280346999993,5,6657.247286999991,0.024226730689406395,-0.09559142589569092,0.024226730689406395,-0.09559142589569092,False,0.10520971932003442
6657.280346999993,5,6657.287631999992,0.5583111643791199,0.6625023484230042,0.5583111643791199,0.6625023484230042,True,0.809639235207855
6657.380877999996,6,6657.3521839999885,0.5402028560638428,0.6445451974868774,0.5402028560638428,0.6445451974868774,True,0.9629507908489972
6657.380877999996,6,6657.384460000001,0.5304223299026489,0.6447791457176208,0.5304223299026489,0.6447791457176208,True,0.9994108582471962
6657.380877999996,6,6657.39252899999,0.529634952545166,0.6453224420547485,0.529634952545166,0.6453224420547485,True,0.9661508094456858
6657.380877999996,6,6657.400597999993,0.5288331508636475,0.64490807056427,0.5288331508636475,0.64490807056427,True,0.9999477455525557
6657.447898999992,7,6657.449011999997,0.5248885154724121,0.6388928890228271,0.5248885154724121,0.6388928890228271,True,0.9999497271541494
6657.514920000001,8,6657.497426000002,0.5228301882743835,0.6372165083885193,0.5228301882743835,0.6372165083885193,True,0.9814283196549765
6657.514920000001,8,6657.545840999999,0.5224776864051819,0.6330683827400208,0.5224776864051819,0.6330683827400208,True,0.9998783233923003
6657.615450999991,9,6657.578116999997,0.4833182096481323,0.614563524723053,0.4833182096481323,0.614563524723053,True,0.9999064200991885
6657.615450999991,9,6657.610392999995,0.42858418822288513,0.5768114328384399,0.42858418822288513,0.5768114328384399,True,0.9953057472945721
6657.615450999991,9,6657.6184619999985,0.4276169240474701,0.5740239024162292,0.4276169240474701,0.5740239024162292,True,0.9893938467730021
6657.615450999991,9,6657.626531000002,0.42818453907966614,0.575562059879303,0.42818453907966614,0.575562059879303,True,0.9997803401404481
6657.615450999991,9,6657.63459999999,0.42585936188697815,0.5757880806922913,0.42585936188697815,0.5757880806922913,True,0.9998211610148792
6657.682472,10,6657.715289999993,0.42738452553749084,0.5713000297546387,0.42738452553749084,0.5713000297546387,True,0.944106669741406
6657.682472,10,6657.723358999996,0.42782583832740784,0.5724890232086182,0.42782583832740784,0.5724890232086182,True,0.9881233798963109
6657.682472,10,6657.731427999999,0.42749476432800293,0.5729286670684814,0.42749476432800293,0.5729286670684814,True,0.9999495358104933
6657.850023999999,12,6657.828257000001,0.4302951693534851,0.5745099782943726,0.4302951693534851,0.5745099782943726,True,0.9987445772631909
6658.084596999994,15,6658.078395999997,0.4281645715236664,0.5669187307357788,0.4281645715236664,0.5669187307357788,True,0.9999969839027684
6658.084596999994,15,6658.094533999989,0.4288392663002014,0.565681517124176,0.4288392663002014,0.565681517124176,True,0.9669138336059618
6658.084596999994,15,6658.102602999992,0.4271371364593506,0.5673775672912598,0.4271371364593506,0.5673775672912598,True,0.9999597943562827
6658.151617999989,16,6658.13487899999,0.42797815799713135,0.5640058517456055,0.42797815799713135,0.5640058517456055,True,0.9998408081349456
6658.151617999989,16,6658.288191,0.4234554171562195,0.5714491009712219,0.4234554171562195,0.5714491009712219,True,0.9998786667864563
6658.151617999989,16,6658.360811999999,0.4203949570655823,0.5731140971183777,0.4203949570655823,0.5731140971183777,True,0.9994175672559842
6658.620762999999,17,6658.489916999999,0.4266142249107361,0.5581761002540588,0.4266142249107361,0.5581761002540588,True,0.9996555147168761
6658.620762999999,17,6658.610951999988,0.42561817169189453,0.5697065591812134,0.42561817169189453,0.5697065591812134,True,0.9996601176084369
6658.620762999999,17,6658.619020999991,0.42516958713531494,0.571474552154541,0.42516958713531494,0.571474552154541,True,0.9997231489019628
