id,start_timestamp,duration,start_frame_index,end_frame_index,norm_pos_x,norm_pos_y,dispersion,confidence,method,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,base_data
0,6656.706661999997,209.79500000248663,0,1,0.2179886389869713,0.18172440014687816,1.3923951661345677,0.9996179661389396,3d gaze,-227.6627727526346,133.98898236975515,421.9263596785161,6656.706661999997 6656.722799999989 6656.730868999992 6656.7954210000025 6656.859973999992 6656.916456999999
1,6656.997147000002,129.10399999236688,2,4,0.20933366067894,0.18252856333893844,0.8947936278111082,0.9994745645812801,3d gaze,-234.84941729565298,133.96020472231243,419.376535463437,6656.997147000002 6657.037491999989 6657.069768000001 6657.126250999994
2,6657.3521839999885,193.65700001071673,6,9,0.5270835382211928,0.38401177063404524,0.5547352404283739,0.9871023677565516,3d gaze,7.977735654533011,39.589512030971896,447.701253545938,6657.3521839999885 6657.384460000001 6657.39252899999 6657.400597999993 6657.449011999997 6657.497426000002 6657.545840999999
3,6657.610392999995,217.86400000564754,9,12,0.4879576266046321,0.3536649410185431,0.398490323500472,0.9894031572417878,3d gaze,-19.394837342366905,52.49963133925783,451.5520031425424,6657.610392999995 6657.6184619999985 6657.626531000002 6657.63459999999 6657.715289999993 6657.723358999996 6657.731427999999 6657.828257000001
4,6658.078395999997,209.79500000248663,15,17,0.4830387427471958,0.3465037418959721,0.2542990611327296,0.9933180173572829,3d gaze,-22.89362689595113,55.541172735003784,451.9558841136351,6658.078395999997 6658.094533999989 6658.102602999992 6658.13487899999 6658.288191
5,6658.360811999999,129.10499999998137,17,17,0.4795982613097726,0.34837738652203676,0.08009523233359206,0.9995365409864301,3d gaze,-25.324873407218988,54.79747417518472,452.124322667718,6658.360811999999 6658.489916999999
6,6658.610951999988,153.3110000018496,17,18,0.4780193692690354,0.3538913148322175,0.25801495143721886,0.9971020127254329,3d gaze,-26.424390438421245,52.51247298777501,452.1256064771948,6658.610951999988 6658.619020999991 6658.6270899999945 6658.635158999998 6658.76426299999
7,6658.844954,217.86299999803305,18,20,0.47631164955189975,0.3615204561036033,0.28686815430070045,0.9995766290572093,3d gaze,-27.60643579824996,49.34904251461538,452.082336299963,6658.844954 6658.885299000001 6658.901436999993 6658.909505999996 6658.933712999991 6658.982126999996 6659.014402999994 6659.062816999998
8,6659.087023999993,161.3809999980731,20,21,0.47425896609981266,0.3657623367032892,0.2988077398884417,0.9997258513997354,3d gaze,-29.04497876294448,47.6027688622238,452.103324042725,6659.087023999993 6659.111231000003 6659.119299999991 6659.175783999992 6659.240336000003 6659.248404999991
9,6659.506613999998,177.51799999678042,22,23,0.46727803633437637,0.36150435325995045,0.24382091540394962,0.9839510410493982,3d gaze,-33.909642527043076,49.28703651784608,451.03817816295583,6659.506613999998 6659.52275199999 6659.546958999999 6659.5550280000025 6659.563096999991 6659.571165999994 6659.595372999989 6659.6115109999955 6659.619579999999 6659.659925 6659.684131999995
10,6659.740615000002,201.72599999932572,23,25,0.6408717101955164,0.32555916462580187,0.45486836015794485,0.9802434966955003,3d gaze,85.1705569035199,62.046968552066346,429.53904349024896,6659.740615000002 6659.76482299999 6659.772891999994 6659.7970989999885 6659.83744399999 6659.861650999999 6659.885857999994 6659.910064999989 6659.918133999992 6659.942341000002
11,6660.063375999991,217.86400000564754,26,27,0.44903119432573124,0.3237696711803459,0.8488499860136849,0.9990601858735334,3d gaze,-47.137880318724235,65.31469122489494,452.10407596592756,6660.063375999991 6660.071444999994 6660.079513999997 6660.0875839999935 6660.111790999988 6660.127928999995 6660.144067000001 6660.15213599999 6660.160204999993 6660.176342999999 6660.184412000002 6660.200549999994 6660.208618999997 6660.216688 6660.224756999989 6660.232825999992 6660.240894999995 6660.2489639999985 6660.257033000002 6660.26510199999 6660.273170999993 6660.281239999997
12,6660.369999000002,104.89799999049865,28,28,0.47183546675416754,0.363960706958021,1.1709458252796294,0.9994348821602036,3d gaze,-30.673668759548857,48.220031837358626,450.7732982769703,6660.369999000002 6660.378067999991 6660.386136999994 6660.394205999997 6660.410344999997 6660.418414 6660.426482999988 6660.4345519999915 6660.450689999998 6660.458759000001 6660.474896999993
13,6660.539448999989,121.03500000375789,29,29,0.4321327276699026,0.3541788248256775,1.1440663340852755,0.9730266305858991,3d gaze,-59.071637358552195,52.72542938624132,452.0546649948176,6660.539448999989 6660.547517999992 6660.555586999995 6660.563655999998 6660.571725000002 6660.57979399999 6660.5959319999965 6660.612069999988 6660.6201389999915 6660.628207999995 6660.636276999998 6660.644346000001 6660.660483999993
14,6660.878347999998,96.82799999427516,31,32,0.4965048753409202,0.31906130700168067,1.4415058423251865,0.9823771665742468,3d gaze,-13.398312471263859,66.64322670098709,449.81892249903893,6660.878347999998 6660.89448599999 6660.9106239999965 6660.926761999988 6660.934830999991 6660.942899999995 6660.975175999993
15,6661.088143000001,217.86299999803305,32,33,0.44130878828204795,0.31149848599784546,1.4253594164362717,0.9964326965742538,3d gaze,-52.78052842051668,70.6111600976015,452.2919077162158,6661.088143000001 6661.0962119999895 6661.112349999996 6661.120418999999 6661.136556999991 6661.152694999997 6661.168832999989 6661.176901999992 6661.184970999995 6661.193039999998 6661.20917799999 6661.217246999993 6661.249522999991 6661.2575919999945 6661.265660999998 6661.281798999989 6661.289867999993 6661.297936999996 6661.306005999999
