framenumber,x,y,text
65,2,670,"“ Seeman he =
"
65,3,693,"A Peay @Column(name = ""created_date"", updatable = false) =
"
65,4,719,"5 ec] a
"
65,2,728,"i os lial a
"
65,1,751,"af Pee aris @ private Instant createdDate = Instant.now(); sare
"
65,4,776,"2 SN eal ~“
"
65,3,796,"A Coat)
"
65,2,814,"2 aa ere ra sity]
"
65,0,835,"sg . Mi Slee @Column(name = ""last_modified_by"", length = 50)
"
65,1,861,"A roe
"
65,62,873,"oe red @JsonIqnore
"
65,27,892,"Pee Re a Cee
"
65,2,912,"ee eee ea See ee 2653 LF UTF-8 4spaces# P master “
"
64,4,6,"Cx Dee ee ee Sue Ui ae Te CCU)
"
64,9,32,"Se ee ee ee eee tr an meee Pe ae aaa) CW)
"
64,3,61,"bree © EF = | —| ) Avstractausitingentityiava UPA
"
64,2,73,"B an)  Gasuaace naa 5 = re 2
"
64,1,87,"% Mente it package com.banking.app.domain; 2
"
64,134,119,"oe rc
"
64,3,130,"A pene errr ff
"
64,4,158,"s Sere a a
"
64,2,179,"a eer 1
"
64,2,196,"é Teak
"
64,716,208,"ood
"
64,2,205,"0 ements 4
"
64,170,235,"Cera eee iy Cae remot aol Cs ce awe eee eee a ae Ce ee eel eee eee ee me mere lee
"
64,177,249,"Xero eee Met ao eR ae
"
64,168,273,"© Constants 7
"
64,170,292,"Se ese nmr af
"
64,170,309,"eee ecu Tcie) rl Cee ee?
"
64,168,337,"Seema)
"
64,169,351,"Cee aa)
"
64,170,377,"ene Ley @EntityListeners(AuditingEntityListener.class)
"
64,170,398,"Siete cy = ses moma or
"
64,170,408,"erecenictecy SU Uke) hayden (Ue sme et) Re A IST ee 2:
"
64,169,438,"Terie Re secrecy
"
64,172,447,"reren ren Mea : on are r . ae
"
64,170,463,"© MetricsConfiguration yz) ee EAD eho em AT LOTS Meare (eee =
"
64,168,497,"eee eae) 7 Es
"
64,169,518,"Reece ce eee NG Ps
"
64,169,537,"Se rei
"
64,170,551,"© webConfigurer (GLOOM MUG Meee Lh Lt) AOL] POT: MSL SL Eh] EM cD er
"
64,133,575,"US @JsonIgnore Saree
"
64,172,598,"Ree eng : : a
"
64,4,605,"2 © Card t private String createdBy; hil
"
64,2,629,"By len ——
"
64,2,650,"ao Ca oa
"
64,2,670,"“ Seeman he =
"
64,3,689,"A Peay @Column(name = ""created_date"", updatable = false) Le
"
64,4,713,"5 ect] nar a
"
64,2,728,"i ors ainincciia a
"
64,1,751,"af Pee Rcris ® private Instant createdDate = Instant.now(); sare
"
64,4,776,"2 Nel ~“
"
64,3,796,"A Cota}
"
64,2,814,"2 aa ere ra sity]
"
64,2,839,"g . Mi Sleizas @Column(name = ""last_modified_by"", length = 50)
"
64,1,861,"A ron
"
64,62,873,"oe red @JsonIqnore
"
64,27,892,"[eee Re a > Cee
"
64,2,912,"a recy ea ee See ee 2653 LF UTF-8 4spaces# P master “
"
70,4,6,"Cx DC ee Soe ea ue i ae Te CCU)
"
70,9,32,"CO ace oe ML oe ec ee Sa ee Dee Pa a a = 2 | (lca a ara} fou +)
"
70,3,61,"hare © EF = | & —| ) Avstractausitingentityiave UPA
"
70,2,75,"3 or ST ; mm ;
"
70,1,87,"% Mere it package com.banking.app.domain; iS
"
70,134,119,"Ce cc
"
70,4,139,"F pene ¥
"
70,3,143,"A 3 import ... ae
"
70,4,159,"s Sere a
"
70,2,179,"é eee :
"
70,2,196,"é Teak
"
70,2,205,"0 Sense me ty ae
"
70,170,235,"Cer eee iy * Base abstract class for entities which will hold definitions for created, last modified by and created,
"
70,177,249,"Xero eee Met Pee reaty Barrie)
"
70,168,277,"© Constants
"
70,170,292,"Se ese nmr af
"
70,171,309,"eee uence) rl Gee Nee ey
"
70,168,337,"Seema
"
70,169,351,"CS eect cea)
"
70,170,377,"neo @EntityListeners(AuditingEntityListener.class)
"
70,170,398,"Siete cy = wes moma or
"
70,170,408,"erence SUG eke) hay aoe haa leas (ebm et) Re MT 1ST eZ)
"
70,169,438,"Teer ne Re secre cc
"
70,169,447,"ereren ren Mec ree are r . SrTe
"
70,155,458,"PTV ene x) * private static final long serialVersionUID = 1L;| =
"
70,168,497,"eee ae) 7 Es
"
70,169,518,"Seren eto eee ha
"
70,169,533,"© SwaggerContig lidat
"
70,170,551,"© webConfigurer (GLOOM MUTN G-Tech Lt) A ULL PTs MSL Cob] MCD er
"
70,133,575,"lS @JsonIgnore Saree
"
70,171,598,"CRC Sy : : a
"
70,4,605,"2 omer t private String createdBy; hil
"
70,2,629,"By nes ——
"
70,2,650,"ao Cea oa
"
70,2,670,"“ Seeman he =
"
